pBrand,pModel,pTitle,pURL,price,rDate,rRating,rRatingLink,rText,rTitle,rTitleLink,rURL,rUser,rUserLink,siteCode
Milwaukee,"Model # 2792-20
Internet #204797934
Store SKU #1000035615",M18 Jobsite Radio/Charger,http://www.homedepot.com/p/Milwaukee-M18-Jobsite-Radio-Charger-2792-20/204797934,$179.00,"February 24, 2017"," 4.0
 out of
 5
",,I had this for just over a year. I used it for a couple months. everything was great. Then we were caught in rain and it never worked after that. The manual says it's waterproof but it must be wrong. I noticed that my brother's Bocsh radio had GFCI outlets on his. it would be a great addition to this radio and better whether proofing. I could not recommend this tool to anyone even though I do recommend Milwaukee tools to people. This has been my first disappointment from Milwaukee Tool.,Not the quality someone would expect from Milwaukee,,,Knelezen,,HD
Milwaukee,"Model # 2792-20
Internet #204797934
Store SKU #1000035615",M18 Jobsite Radio/Charger,http://www.homedepot.com/p/Milwaukee-M18-Jobsite-Radio-Charger-2792-20/204797934,$179.00,"March 1, 2017"," 4.0
 out of
 5
",,Excellent sound quality and battery life. If you are looking for an excellent job site radio that will last you for many years look no further.,Milwaukee jobsite radio,,,Electrician1,,HD
Milwaukee,"Model # 2792-20
Internet #204797934
Store SKU #1000035615",M18 Jobsite Radio/Charger,http://www.homedepot.com/p/Milwaukee-M18-Jobsite-Radio-Charger-2792-20/204797934,$179.00,"February 19, 2017"," 4.0
 out of
 5
",,"This is a great jobsite radio, It does everything as advertised, It has Great sound, when the radio is plugged into AC it will charge your M18 battery, When the radio is not plugged in to AC the Radio will run off the M18 battery, this radio also has a USB port for charging your phone.","This is a great jobsite radio, It does everything as advertised, It has Great sound, when the rad...",,,Del,,HD
Milwaukee,"Model # 2792-20
Internet #204797934
Store SKU #1000035615",M18 Jobsite Radio/Charger,http://www.homedepot.com/p/Milwaukee-M18-Jobsite-Radio-Charger-2792-20/204797934,$179.00,"February 21, 2017"," 4.0
 out of
 5
",,The radio will play from the battery if AC is not available. It is quick to charge the battery when AC is available and the sound is awesome.,The radio will play from the battery if AC is not available. It is quick to charge the battery wh...,,,Greggo,,HD
Milwaukee,"Model # 2792-20
Internet #204797934
Store SKU #1000035615",M18 Jobsite Radio/Charger,http://www.homedepot.com/p/Milwaukee-M18-Jobsite-Radio-Charger-2792-20/204797934,$179.00,"February 21, 2017"," 4.0
 out of
 5
",,Works very well and sounds great! Nice and portable,Great radio,,,Rob24,,HD
Milwaukee,"Model # 2792-20
Internet #204797934
Store SKU #1000035615",M18 Jobsite Radio/Charger,http://www.homedepot.com/p/Milwaukee-M18-Jobsite-Radio-Charger-2792-20/204797934,$179.00,"January 17, 2017"," 4.0
 out of
 5
",,Bought this for my boyfriend who owns a construction company. He uses it at the job site every day and loves not only the sound quality but also that it can charge all his tools.,Love it!,,,Ashley,,HD
Milwaukee,"Model # 2792-20
Internet #204797934
Store SKU #1000035615",M18 Jobsite Radio/Charger,http://www.homedepot.com/p/Milwaukee-M18-Jobsite-Radio-Charger-2792-20/204797934,$179.00,"January 10, 2017"," 4.0
 out of
 5
",,"High quality product, very loud. I would recommend to anyone.",Job Site Radio,,,M18,,HD
Milwaukee,"Model # 2792-20
Internet #204797934
Store SKU #1000035615",M18 Jobsite Radio/Charger,http://www.homedepot.com/p/Milwaukee-M18-Jobsite-Radio-Charger-2792-20/204797934,$179.00,"January 10, 2017"," 4.0
 out of
 5
",,Bought for my husband. He loves it. Just what he was wanting,Bought for my husband. He loves it. Just what he was wanting,,,Sherry,,HD
Milwaukee,"Model # 2890-20
Internet #206395174
Store SKU #902175",M18 Jobsite Radio,http://www.homedepot.com/p/Milwaukee-M18-Jobsite-Radio-2890-20/206395174,$119.00,"December 27, 2016"," 4.5
 out of
 5
",,"Fits Iphone 7 plus, compartment closes fully. First Jobsite Radio, no Blue tooth (don't care), also have Beats Pill. Sound quality is very good, too different from Pill to comment. For my money would buy over Pill as its battery life is horrible! M18 goes all day, great value/quality for the money, thanks Milwaukee, please make a hard hat with built in LED (very bright)","Fits Iphone 7 plus, compartment closes fully. First Jobsite Radio, no Blue tooth (don't care), ...",,,Bacon,,HD
Milwaukee,"Model # 2890-20
Internet #206395174
Store SKU #902175",M18 Jobsite Radio,http://www.homedepot.com/p/Milwaukee-M18-Jobsite-Radio-2890-20/206395174,$119.00,"December 9, 2016"," 4.5
 out of
 5
",,"Good for my purposes. Rugged build quality. Nice simple controls. There are just five FM presets - the other five have to be AM. Sound quality is good and the unit is plenty loud. The reception on the other hand, not so impressive. I cannot tune in one of my favorite stations that I can easily pick-up in my truck or on my bedside clock radio...",Good for my purposes. Rugged build quality. Nice simple controls. There are just five FM presets ...,,,Jason,,HD
