pBrand,pModel,pTitle,pURL,price,rDate,rRating,rRatingLink,rText,rTitle,rTitleLink,rURL,rUser,rUserLink,siteCode
Samsung,"Model # UN60J6200AF
Internet #206279783",60 in. Class LED 1080p 60Hz Smart HDTV,http://www.homedepot.com/p/Samsung-60-in-Class-LED-1080p-60Hz-Smart-HDTV-UN60J6200AF/206279783,$799.00,"January 17, 2017"," 4.7
 out of
 5
",,"good for the price,","good for the price, ...",,,puppy,,HD
Samsung,"Model # UN60J6200AF
Internet #206279783",60 in. Class LED 1080p 60Hz Smart HDTV,http://www.homedepot.com/p/Samsung-60-in-Class-LED-1080p-60Hz-Smart-HDTV-UN60J6200AF/206279783,$799.00,"February 20, 2017"," 4.7
 out of
 5
",,"I am totally blown away by the picture quality. Replaced a 10 year Sharp Aquos 46"" LCD. It looks as though you can actually see real depth behind and around people and objects. The WIFI is very intuitive. Found the router without hesitation and synced immediately with it. No lag when streaming from internet. Picture was great out of the box. Was able to adjust sound for the TV speakers to sound pretty decent. Plays well with HULU and NETFLIX. Internet browser can be a little slow taking input. The only negative I have encountered is not being able to use a wireless mouse and keyboard with it.",Best Picture Ever,,,gcowansr,,HD
Samsung,"Model # UN60J6200AF
Internet #206279783",60 in. Class LED 1080p 60Hz Smart HDTV,http://www.homedepot.com/p/Samsung-60-in-Class-LED-1080p-60Hz-Smart-HDTV-UN60J6200AF/206279783,$799.00,"February 23, 2017"," 4.7
 out of
 5
",,"great picture ,great sound for the price. Great for the price",clean Picture,,,ciscom,,HD
Samsung,"Model # UN60J6200AF
Internet #206279783",60 in. Class LED 1080p 60Hz Smart HDTV,http://www.homedepot.com/p/Samsung-60-in-Class-LED-1080p-60Hz-Smart-HDTV-UN60J6200AF/206279783,$799.00,"February 21, 2017"," 4.7
 out of
 5
",,"Very nice tv with good color, however when purchased there was no tv stand in the box but other than that it's great",Awesome tv,,,Davidsonusn,,HD
Samsung,"Model # UN60J6200AF
Internet #206279783",60 in. Class LED 1080p 60Hz Smart HDTV,http://www.homedepot.com/p/Samsung-60-in-Class-LED-1080p-60Hz-Smart-HDTV-UN60J6200AF/206279783,$799.00,"January 3, 2017"," 4.7
 out of
 5
",,"Well owned a J6200 from a year ago and decided to buy 3 more J6200 to finish a plan and 2 of the 3 had bad LCD screens. Send both back and where I bought them they sent 2 65 inch J6200's in place of the 2 bad 60 inch TV's. Of course I had to pay for them. The 1st 65 inch came in and wouldn't power up so had to replace that one. So finally after 6 TV's, 2 bad LCD's and 1 that didn't power up I finally got my 3 TV's after allot of hassle, time and aggravation.. Also talked to a Samsung repair guy for this area that works for a company that services Samsung TV's for Samsung and he said we have allot a problems with LCD's on the J6200 models...",Holdingurbreath,,,Holdurbreath,,HD
Samsung,"Model # UN60J6200AF
Internet #206279783",60 in. Class LED 1080p 60Hz Smart HDTV,http://www.homedepot.com/p/Samsung-60-in-Class-LED-1080p-60Hz-Smart-HDTV-UN60J6200AF/206279783,$799.00,"February 4, 2017"," 4.7
 out of
 5
",,I really miss the plasma TV's. This is a good LED TV. There are smart features it does not have the my 65 inch Samsung Plasma upstairs has. I wish it had Bluetooth capabilities to use with Samsung sound bar. The biggest complaint with the TV are the HDMI ports. It only has two!! This day and age where everything wired hooks up with HDMI it should have a minimum of 4.,Good for an LED,,,Bears66,,HD
Samsung,"Model # UN60J6200AF
Internet #206279783",60 in. Class LED 1080p 60Hz Smart HDTV,http://www.homedepot.com/p/Samsung-60-in-Class-LED-1080p-60Hz-Smart-HDTV-UN60J6200AF/206279783,$799.00,"February 20, 2017"," 4.7
 out of
 5
",,"I purchased the 40"" Samsung 6200 LED TV to replace an outdated tube television in the bedroom. Wow! Beautiful picture right out of the box, sound is solid and easily heard, picture is crisp with no motion blurring. Only complaint is that it only has 2 HDMI inputs, could use 1 more (in my opinion), but for the price this is a no-brainer!",Perfect bedroom TV,,,PPD52,,HD
Samsung,"Model # UN60J6200AF
Internet #206279783",60 in. Class LED 1080p 60Hz Smart HDTV,http://www.homedepot.com/p/Samsung-60-in-Class-LED-1080p-60Hz-Smart-HDTV-UN60J6200AF/206279783,$799.00,"February 6, 2017"," 4.7
 out of
 5
",,"VERY GOOD TV FOR THE PRICE, PICTURES IS EXCELLENT....",TOP QUALITY,,,SHAMROCKS81,,HD
VIZIO,"Model # D50-D1
Internet #206827809","D-Series 50 in. Class Full-Array LED 1,080p 120Hz Internet Enabled Smart HDTV with Built-In Wi-Fi",http://www.homedepot.com/p/VIZIO-D-Series-50-in-Class-Full-Array-LED-1-080p-120Hz-Internet-Enabled-Smart-HDTV-with-Built-In-Wi-Fi-D50-D1/206827809,$459.00,"February 28, 2017"," 4.1
 out of
 5
",,Not bad for the price but the refresh rate from video card gotta be 25 hz interlaced in order to work,Not bad for the price but the refresh rate from...,,,Lkampy,,HD
VIZIO,"Model # D50-D1
Internet #206827809","D-Series 50 in. Class Full-Array LED 1,080p 120Hz Internet Enabled Smart HDTV with Built-In Wi-Fi",http://www.homedepot.com/p/VIZIO-D-Series-50-in-Class-Full-Array-LED-1-080p-120Hz-Internet-Enabled-Smart-HDTV-with-Built-In-Wi-Fi-D50-D1/206827809,$459.00,"February 11, 2017"," 4.1
 out of
 5
",,"Our new tv has a great picture. I love the smart factors with no extra box or dangling cords. The slim profile of the television is a plus design wise, no bulky frame. Much nicer than the television we replaced.
We have had absolutely no problems with this television. It is simple to operate and a pleasure to use.",Our new tv has a great picture. I love the smart factors with no extra box or dangling cords. Th...,,,ShilohsChild,,HD
VIZIO,"Model # D50-D1
Internet #206827809","D-Series 50 in. Class Full-Array LED 1,080p 120Hz Internet Enabled Smart HDTV with Built-In Wi-Fi",http://www.homedepot.com/p/VIZIO-D-Series-50-in-Class-Full-Array-LED-1-080p-120Hz-Internet-Enabled-Smart-HDTV-with-Built-In-Wi-Fi-D50-D1/206827809,$459.00,"December 21, 2016"," 4.1
 out of
 5
",,"TV great , delivery very poor from home depot even got a request from VIZIO to evaluate the TV 5 days before it arrived , No manual supplied , I tried to down load one 67, pages printed 4 solid purple sheets so I stopped the print out , got a guru to come set it up for me as I have Dish service so all I have is the channels dish supplies , how can I get a manual I can read ?","TV great , delivery very poor from home depot even got a request from VIZIO to evaluate the TV 5 ...",,,MAC,,HD
VIZIO,"Model # D50-D1
Internet #206827809","D-Series 50 in. Class Full-Array LED 1,080p 120Hz Internet Enabled Smart HDTV with Built-In Wi-Fi",http://www.homedepot.com/p/VIZIO-D-Series-50-in-Class-Full-Array-LED-1-080p-120Hz-Internet-Enabled-Smart-HDTV-with-Built-In-Wi-Fi-D50-D1/206827809,$459.00,"December 27, 2016"," 4.1
 out of
 5
",,It is working great now. Had to call support to have a firmware update pushed out. Netflex would not work. They were very helpful in get it up and working. Love the TV.,It is working great now. Had to call support to have a firmware update pushed out. Netflex would ...,,,RichardH,,HD
VIZIO,"Model # D50-D1
Internet #206827809","D-Series 50 in. Class Full-Array LED 1,080p 120Hz Internet Enabled Smart HDTV with Built-In Wi-Fi",http://www.homedepot.com/p/VIZIO-D-Series-50-in-Class-Full-Array-LED-1-080p-120Hz-Internet-Enabled-Smart-HDTV-with-Built-In-Wi-Fi-D50-D1/206827809,$459.00,"December 27, 2016"," 4.1
 out of
 5
",,Very happy with the product so far I haven't had any problems except for it taking a long time to get here but once it did was all good,Tv,,,Jstar,,HD
VIZIO,"Model # D50-D1
Internet #206827809","D-Series 50 in. Class Full-Array LED 1,080p 120Hz Internet Enabled Smart HDTV with Built-In Wi-Fi",http://www.homedepot.com/p/VIZIO-D-Series-50-in-Class-Full-Array-LED-1-080p-120Hz-Internet-Enabled-Smart-HDTV-with-Built-In-Wi-Fi-D50-D1/206827809,$459.00,"November 1, 2016"," 4.1
 out of
 5
",,Television works as expected! Great pic and sound. Was somewhat disappointed saw advertised at Target for 399:00,"Vizio 50""",,,Rose,,HD
